id;version;barrier_id;barrier_metric_id;amber_start;amber_end;updated_by;update_comment;current_flag;start_dt;end_dt
1;1;1;1;2;5;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
2;1;1;2;2;5;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
3;1;1;3;1;1;SYSTEM;Initstem load;true;2017-09-20 14:33:23;
4;1;1;4;1;1;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
5;1;2;1;6;10;SYSTEM;Initial system load;false;2017-09-20 14:33:23;
6;1;2;2;6;10;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
7;1;2;3;1;1;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
8;1;2;4;1;1;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
9;1;3;1;6;10;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
10;1;3;2;6;10;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
11;1;3;3;1;1;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
12;1;3;4;1;1;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
13;1;4;1;6;10;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
14;1;4;2;6;10;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
15;1;4;3;1;1;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
16;1;4;4;1;1;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
17;1;5;1;6;10;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
18;1;5;2;6;10;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
19;1;5;3;1;1;SYSTEM;Initial system load;true;2017-09-20 14:33:23;
20;1;5;4;1;1;SYSTEM;Initial system load;true;2017-09-20 14:33:23;