Order,Functional Loc.,Description,Description,Planner group,Main WorkCtr,ABC indic.,Reference Date,Ref. Element PM/PS,Address number,Reference time,Changed on,Changed by,Available to,Avail. to time,Asset,Subnumber,Available from,Available from,SystemCondition,Work center,PriorityType,Res./Purc. req.,Subnetwork of,Order category,Plant WkCntr,Assembly,Assembly desc.,Plant section,Acctg Indicator,PO date,PO number,Company Code,City,District,Country,Device data,Sort field,Description,Equipment,Created on,Entered by,Billing form,Actual release,Total rev. act.,Tot. plan. rev.,TotSum (actual),TotSum (plan),Actual Finish,Actual finish,Total settlemt,Total act.costs,TotalPlnndCosts,Sched. finish,Basic fin. time,Finish time,Business Area,Actual start,Sched. start,ActualStart,Start time,SchedStartTime,Hist.fr.,MaintActivType,Planning plant,Costing Sheet,Sales Document,Item,CO Area,Cost Center,Resp. cost cntr,Customer,Leading order,Deletion flag,Long txt exists,Description,Superior order,Base Unit,Quantity,Room,List name,Object number,Object list,Paging status,PGrp Task List,OrderPlanInd.,Group Counter,Group,Postal Code,Profit Center,Priority,Priority,WBS element,WBS ord. header,Coding,Code group,Catalog type,Notification,Region,Serial Number,Material,Service product,Service product,Division,Division - Sales,Location,Street,MaintPlant,Telephone,Estimated costs,Sales Office,Sales Group,Sales Org.,Sales Org. - Sales,Superior act.,Distr. Channel,Distr. Channel - Sal,Currency,MaintItem,MaintenancePlan,Plant,Comp,Overhead key,Earlst Allow Fin Dat,Earl Allow Start Dat,Latest Allow Fin Dat,Original Due Date,Bas. start date,User status,System status,Order Type,Revision,Basic fin. date
86000436,STAM-U-HPWH-WCP,Wellhead Control Panel (HPU),LIGHTING STAMFORD CONTROL PANEL.,ELE,ELEC,U,06/06/2012,,,11:38:06,09/04/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,04/18/2012,TKEMPENAAR,,04/22/2012,0.00,0.00,873.95,"1,373.95",06/01/2012,18:00:05,0.00,873.95,"1,373.95",04/11/2012,07:42:00,07:42:00,,04/10/2012,04/10/2012,07:12:00,07:12:00,07:12:00,,REP,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,E,,,,0.000,,,OR000086000436,"399,174.00",,,,,,,P9056,2,High,,,,,,2000163541,,,,,,,,,,N107,,0.00,,,,,,,,EUR,,,NM01,,,,03/27/2012,04/24/2012,04/10/2012,04/10/2012,WCOM,CLSD CNF  PRC  SETC,UM02,,04/11/2012
86000556,STAM-C-CN,Control Systems,Stamford powersupply malfunction,INS,INST,U,06/15/2012,,,10:47:18,09/13/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,05/19/2012,PVEENEMA,,05/19/2012,0.00,0.00,238.35,317.80,05/19/2012,16:00:00,0.00,238.35,317.80,05/26/2012,13:10:00,13:10:00,,05/19/2012,05/26/2012,00:00:00,08:10:00,08:10:00,,RPR,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,E,,,,0.000,,,OR000086000556,"402,877.00",,,,,,,P9056,1,Very High,,,,,,2000164120,,,,,,,,,,N107,,0.00,,,,,,,,EUR,,,NM01,,,,05/19/2012,06/02/2012,05/26/2012,05/26/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM02,,05/26/2012
86000557,STAM-U-HPWH-WCP,Wellhead Control Panel (HPU),Stamford pump 8303 tripped,INS,INST,U,06/15/2012,,,10:47:11,09/13/2012,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,05/19/2012,PVEENEMA,,05/19/2012,0.00,0.00,635.60,953.40,05/19/2012,16:00:56,0.00,635.60,953.40,06/02/2012,14:51:00,14:51:00,,05/19/2012,06/02/2012,00:00:00,07:51:00,07:51:00,,RPR,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,E,,,,0.000,,,OR000086000557,"402,878.00",,,,,,,P9056,2,High,,,,,,2000164116,,,,,,,,,,N107,,0.00,,,,,,,,EUR,,,NM01,,,,05/19/2012,06/16/2012,06/02/2012,06/02/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM02,,06/02/2012
86000530,STAM-C-CNDS-CENPNL-SCU,SCM Cabinet SCU,Stamford servers defect. Repair req,INS,INST,U,01/24/2013,,,09:12:02,04/24/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,05/08/2012,AVISSER,,05/08/2012,0.00,0.00,"12,137.89","9,756.91",,00:00:00,0.00,"12,137.89","9,756.91",10/04/2012,15:56:00,15:56:00,,,10/01/2012,00:00:00,10:26:00,10:26:00,,REP,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,E,,,,0.000,,,OR000086000530,"401,898.00",,,,,,,P9056,2,High,,,,,,2000163527,,,,,,,,,,N107,,0.00,,,,,,,,EUR,,,NM01,,,,04/26/2012,05/24/2012,05/10/2012,10/01/2012,WCOM,CLSD GMPS NMAT PRC  SETC,UM02,,10/04/2012
81003726,STAM-U-CHME-INJOFC-55FT3201,FT Methanol To Wells,I400 12M Transmitter Checks,INS,INST,U,06/16/2013,,,15:15:33,09/14/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/15/2012,IP1020120715,,07/15/2012,0.00,0.00,138.00,158.90,06/15/2013,13:31:35,0.00,138.00,158.90,10/22/2012,09:00:00,09:00:00,,10/22/2012,10/22/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,,,,,0.000,,,OR000081003726,"407,440.00",,INS,1,1,I400ST,,P9056,4,Low,,,,,,3000165953,,,,,,,,,,N107,,0.00,,,,,,,,EUR,600023872,50021254,NM01,,,,06/04/2012,03/11/2013,10/22/2012,10/22/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,10/22/2012
86001050,STAM-U-HPWH-WCP,Wellhead Control Panel (HPU),HP control line leaking,INS,INST,U,09/07/2013,,,08:37:11,02/28/2017,FANDRIESSEN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,11/09/2012,PVEENEMA,,11/11/2012,0.00,0.00,276.00,317.80,09/06/2013,07:30:43,0.00,276.00,317.80,11/07/2012,14:44:00,14:44:00,,11/07/2012,11/07/2012,10:14:00,10:14:00,10:14:00,,RPR,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,E,,,,0.000,,,OR000086001050,"414,962.00",,,,,,,P9056,1,Very High,,,,,,2000165179,,,,,,,,,,N107,,0.00,,,,,,,,EUR,,,NM01,02/28/2017,,,10/31/2012,11/14/2012,11/07/2012,11/07/2012,WCOM,CLSD CNF  PRT  NMAT PRC  SETC,UM02,,11/07/2012
81003148,STAM-U-CHME-INJOUT-55PT3207,PT Methanol Injection Pumps J6A,I400 24M Transmitter,INS,INST,U,06/16/2013,,,15:15:35,09/14/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/01/2012,IP1020120701,,08/17/2012,0.00,0.00,138.00,158.90,06/14/2013,07:50:36,0.00,138.00,158.90,11/19/2012,09:00:00,09:00:00,,11/19/2012,11/19/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,E,,,,0.000,,,OR000081003148,"406,192.00",,INS,1,2,I400J6,,P9056,4,Low,,,,,,3000165181,,,,,,,,,,N107,,0.00,,,,,,,,EUR,600023215,50020604,NM01,,,,07/02/2012,04/08/2013,11/19/2012,11/19/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,11/19/2012
81003156,STAM-U-CHCI-INJOUT-59PT3207,PT Methanol Injection Pumps J6A,I400 24M Transmitter,INS,INST,U,09/24/2013,,,07:12:42,12/23/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,07/01/2012,IP1020120701,,07/01/2012,0.00,0.00,138.00,158.90,09/20/2013,07:40:37,0.00,138.00,158.90,11/22/2012,09:00:00,09:00:00,,11/22/2012,11/22/2012,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,E,,,,0.000,,,OR000081003156,"406,200.00",,INS,1,2,I400J6,,P9056,4,Low,,,,,,3000165189,,,,,,,,,,N107,,0.00,,,,,,,,EUR,600023232,50020621,NM01,09/23/2013,,,07/05/2012,04/11/2013,11/22/2012,11/22/2012,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,11/22/2012
81006392,STAM-P-WHSS-W01SSV-07XV3201,Downhole Safety Valve Stamford Well,O121 6M Well Integrity Testing Procedure,MEC,MECH,U,06/01/2013,,,13:56:10,09/06/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,12/20/2012,IP1020121220,,12/20/2012,0.00,0.00,0.00,960.00,,00:00:00,0.00,0.00,960.00,03/26/2013,08:30:00,08:30:00,,,03/25/2013,00:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,,,,,0.000,,,OR000081006392,"418,208.00",,MEC,1,1,O121J6,,P9056,2,High,,,,,,3000170380,,,,,,,,,,N107,,0.00,,,,,,,,EUR,600025401,50022378,NM01,,,,03/11/2013,04/08/2013,03/25/2013,03/25/2013,WCOM,CLSD NMAT PRC  SETC,UM01,,03/26/2013
81004621,STAM-P-WHSS-W01SSV-07XV3201,Downhole Safety Valve Stamford Well,O121 12M Control Valve Checks,MEC,MECH,U,08/18/2015,,,12:13:58,11/16/2015,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,09/13/2012,IP1020120913,,09/13/2012,0.00,0.00,0.00,160.00,,00:00:00,0.00,0.00,160.00,04/11/2013,09:00:00,09:00:00,,,04/11/2013,00:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,,,,,0.000,,,OR000081004621,"411,588.00",,INS,1,1,I645ST,,P9056,4,Low,,,,,,3000167576,,,,,,,,,,N107,,0.00,,,,,,,,EUR,600023874,50021256,NM01,08/18/2015,,,11/22/2012,08/29/2013,04/11/2013,04/11/2013,WCOM,CLSD NMAT PRC  SETC,UM01,,04/11/2013
86000984,STAM-U-CHCI-INJ,Corrosion Inhibitor Injection,Leakage of injection pipe CI on J6A.,PDN,OPS,U,02/06/2014,,,10:59:53,05/07/2014,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,10/22/2012,HFORTUIN,,06/10/2013,0.00,0.00,0.00,414.00,,00:00:00,0.00,0.00,414.00,06/09/2013,12:43:00,12:43:39,,,06/08/2013,00:00:00,17:43:00,17:43:39,,RPR,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,E,,,,0.000,,,OR000086000984,"413,626.00",,,,,,,P9056,2,High,,,,,,2000164679,,,,,,,,,,N107,,0.00,,,,,,,,EUR,,,NM01,02/06/2014,,,10/08/2012,11/05/2012,10/22/2012,06/08/2013,WCOM,CLSD NMAT PRC  SETC,UM02,,06/09/2013
81006090,STAM-U-HPWH-WCP,Wellhead Control Panel (HPU),V107 12M Inspect / Service SD HPU Panel,NIN,GENCON,U,01/09/2013,,,07:43:08,04/09/2013,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,12/13/2012,IP1020121213,,12/13/2012,0.00,0.00,0.00,"4,080.00",,00:00:00,0.00,0.00,"4,080.00",07/12/2013,10:00:00,10:00:00,,,07/11/2013,00:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,,,,,0.000,,,OR000081006090,"417,541.00",,INS,1,1,V107SD,,P9056,3,Medium,,,,,,3000169987,,,,,,,,,,N107,,0.00,,,,,,,,EUR,600024964,50021775,NM01,,,,06/13/2013,08/08/2013,07/11/2013,07/11/2013,WCOM,CLSD NMAT PRC  SETC,UM01,,07/12/2013
81006742,STAM-U-HPWH-WCP,Wellhead Control Panel (HPU),V107 12M Inspect / Service SD HPU Panel,NIN,GENCON,U,12/02/2013,,,15:04:35,09/12/2015,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,01/10/2013,IP1020130110,,01/10/2013,0.00,0.00,0.00,"4,080.00",,00:00:00,0.00,0.00,"4,080.00",07/13/2013,10:00:00,10:00:00,,,07/12/2013,00:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,,,,,0.000,,,OR000081006742,"419,192.00",,INS,1,1,V107SD,,P9056,3,Medium,,,,,,3000170908,,,,,,,,,,N107,,0.00,,,,,,,,EUR,600024964,50021775,NM01,12/02/2013,,,06/14/2013,08/09/2013,07/12/2013,07/12/2013,WCOM,CLSD NMAT PRC  SETC,UM01,,07/13/2013
81007668,STAM-P-WHSS-W01SSV-07XV3201,Downhole Safety Valve Stamford Well,O121 6M Well Integrity Testing Procedure,MEC,MECH,U,12/20/2013,,,06:47:29,03/20/2014,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,02/28/2013,IP1020130228,,02/28/2013,0.00,0.00,828.00,828.00,12/02/2013,17:59:08,0.00,828.00,828.00,09/22/2013,08:30:00,08:30:00,,09/21/2013,09/21/2013,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,,,,,0.000,,,OR000081007668,"422,386.00",,MEC,1,1,O121J6,,P9056,2,High,,,,,,3000172549,,,,,,,,,,N107,,0.00,,,,,,,,EUR,600025401,50022378,NM01,12/04/2013,,,09/07/2013,10/05/2013,09/21/2013,09/21/2013,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,09/22/2013
81008014,STAM-U-CHME-INJOFC-55FT3201,FT Methanol To Wells,I400 12M Transmitter Checks,INS,INST,U,11/16/2013,,,13:34:18,02/14/2014,BATCHMAN,,00:00:00,,,,00:00:00,,,UM,3,,30,NM01,,,,,,,5702,,,,,,,,03/21/2013,IP1020130321,,03/21/2013,0.00,0.00,138.00,138.00,11/13/2013,14:33:12,0.00,138.00,138.00,10/17/2013,09:00:00,09:00:00,,10/17/2013,10/17/2013,07:00:00,07:00:00,07:00:00,,PPM,NM01,PP-PC1,,000000,CENT,CE5702G080,CE5702C008,,,,,,,,0.000,,,OR000081008014,"423,544.00",,INS,1,1,I400ST,,P9056,4,Low,,,,,,3000173208,,,,,,,,,,N107,,0.00,,,,,,,,EUR,600023872,50021254,NM01,11/13/2013,,,05/30/2013,03/06/2014,10/17/2013,10/17/2013,WCOM,CLSD CNF  NMAT PRC  SETC,UM01,,10/17/2013
